video_id,topic,topic_label
5baemtRPzEU,3,trauma / anger / emotion
5bhzvhOyGy0,8,interaction / extrovert / introvert
5BIuINM96Q8,-1,Outlier
5cM6dwkIrFA,2,game / dopamine / brain
5dJLphFSUDk,20,sex / asexuality / penis
-5eliLFIKhw,0,motivation / job / brain
5exo1XA6QEg,10,addiction / substance / cannabis
_5hcxlzxjY4,-1,Outlier
5iYOdgYDtSw,-1,Outlier
5kLqdD8PmSc,-1,Outlier
5mcOOAkp_x8,0,motivation / job / brain
5mxu_A-BuqM,17,flag / relationship / partner
5n6lDNacfk0,1,game / dad / friend
5nKRuE_MOrQ,-1,Outlier
5OLtM0v-k2E,-1,Outlier
5oSTqjidL4s,1,game / dad / friend
5P3zVXWT1W8,0,motivation / job / brain
5PZMwpbaJ4g,-1,Outlier
5QdPcuH3FjA,-1,Outlier
5QMy2YXWxHU,-1,Outlier
5qNEAgcCT7w,1,game / dad / friend
5QwoCa6Ssxk,14,burnout / employee / job
5R2w5f5BLIg,-1,Outlier
5rEYnz7wIOs,0,motivation / job / brain
5tqgjeeVmnw,10,addiction / substance / cannabis
5uMW21UfOSg,-1,Outlier
5UrVkZXVHcQ,0,motivation / job / brain
5U-U8I_Rfhw,-1,Outlier
5z5KT5pRmUI,-1,Outlier
60Eb_t_ME8Q,-1,Outlier
62QNG2YJajQ,4,relationship / love / friend
640vIyvvxOY,9,parent / boundary / kid
6536kS7205A,-1,Outlier
67WSktDKn40,9,parent / boundary / kid
693UD3V1KSU,-1,Outlier
6ANbVHDae2w,-1,Outlier
6b9qmv4uhcQ,-1,Outlier
6BnYSql0a34,8,interaction / extrovert / introvert
6CWq8wyS90o,2,game / dopamine / brain
6eeKK2D7Xs0,-1,Outlier
6godSEVvcmU,22,psychosis / chatbot / risk
6GyXBKlHu0g,-1,Outlier
6H0OkGbjubo,-1,Outlier
6H6-Pwny--4,-1,Outlier
6JjRS4rz7A8,-1,Outlier
6KGYCU_INVI,26,loneliness / arousal / being
6kJzzo7deDY,3,trauma / anger / emotion
6kXLz2DXx7Y,-1,Outlier
6L4-BWP2f-s,6,gender / dude / emotion
6LPox8Mma6g,10,addiction / substance / cannabis
6lzS_om3nU4,27,vision / contact / introvert
6mGpmsZepvM,8,interaction / extrovert / introvert
6P1hn2iTLVQ,2,game / dopamine / brain
-6SNLtm3Iis,17,flag / relationship / partner
6t3sXBz2RY4,0,motivation / job / brain
6TS4d-zqRFA,3,trauma / anger / emotion
6u0azgiH4dI,4,relationship / love / friend
6Ux2U-AJp3E,-1,Outlier
6vcWwuKWvIU,7,depression / therapist / therapy
-6w2dZfqKBw,-1,Outlier
6Y_z2JtPl6M,-1,Outlier
6zzqQput4CE,3,trauma / anger / emotion
70669ZJdmWg,3,trauma / anger / emotion
70sUgz0IqiY,9,parent / boundary / kid
71wM2TgL6J8,9,parent / boundary / kid
720DQBVYegY,1,game / dad / friend
79Ulkp6V-Tg,16,narcissist / parent / narcissism
79x8m8ck5mY,1,game / dad / friend
7A6LOgqtHC8,-1,Outlier
7AywxObPgeM,-1,Outlier
7CceEyd6AwY,1,game / dad / friend
7DX9-iW8kJ0,6,gender / dude / emotion
7E7foGMgW14,-1,Outlier
